CODE_CLT;C_CHEQUE_MNT;C_CHEQUE_NB;C_DEBLOC_CREDIT_MNT;C_DEBLOC_CREDIT_NB;C_MNT;C_NB;C_VERS_ESPECE_MNT;C_VERS_ESPECE_NB;C_VIREMENT_MNT;C_VIREMENT_NB;D_CHEQUE_MNT;D_CHEQUE_NB;D_MNT;D_NB;D_PMNT_TPE_MNT;D_PMNT_TPE_NB;D_REMB_CREDIT_MNT;D_REMB_CREDIT_NB;D_RET_DAB_MNT;D_RET_DAB_NB;D_RET_ESPECE_MNT;D_RET_ESPECE_NB;D_VIREMENT_MNT;D_VIREMENT_NB
1;0;0;0;0;1614.957667;2.333333333;136.6666667;0.333333333;1478.291;2;290.3333333;1.333333333;1603.38;16.66666667;0;0;469.5786667;3;540;4;200;0.333333333;35;1
2;0;0;0;0;1352.968667;2.333333333;0;0;1352.959667;2;0;0;1349.569333;3.333333333;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;1353.786667;2.666666667;0;0;1337.088667;1;0;0;1353.252;5.333333333;0;0;0;0;0;0;889.3333333;1;0;0
4;0;0;0;0;856.178;1.333333333;0;0;839.6756667;1;0;0;1284.756333;11.66666667;0;0;349.032;2;430;3.333333333;483.3333333;1.333333333;0;0
5;0;0;0;0;1172.677333;1.333333333;0;0;1151.169;1;201.3783333;1.333333333;784.058;5;39.18366667;0.333333333;0;0;533.3333333;1.666666667;0;0;1.416;1
6;0;0;0;0;524.4516667;1;0;0;524.4516667;1;0;0;526.7533333;5.333333333;0;0;174.0903333;1;0;0;344.72;2;1.416;1
7;0;0;0;0;1556.68;2;0;0;1556.68;2;53.33333333;0.333333333;1499.987333;13.66666667;0;0;428.258;2;525.7933333;4.666666667;0;0;0;0
8;0;0;0;0;607.5216667;1;0;0;607.5216667;1;0;0;607.6973333;2.333333333;0;0;184.8223333;1;0;0;418.3333333;1;0;0
9;0;0;0;0;648.3036667;1.666666667;0;0;648.2996667;1.333333333;93.33333333;0.333333333;518.9526667;4.666666667;0;0;0;0;0;0;420;2.666666667;0.472;0.333333333
10;0;0;0;0;0.040666667;0.333333333;0;0;0;0;0;0;0.630666667;0.666666667;0;0;0;0;0;0;0;0;0;0
